FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Xuhui Luo	['Mingkuang Wang', 'Guiping Hu', 'Boqi Weng']	unknown	0	2019-04-06	Seasonal Change of Microbial Diversity and Its Relation with Soil Chemical Properties in Orchard	Microbiology
Yuko Sato	['Lennart Hilbert', 'Haruka Oda', 'Yinan Wan', 'John M Heddleston', 'Teng-Leong Chew', 'Vasily Zaburdaev', 'Philipp Keller', 'Timothee Lionnet', 'Nadine Vastenhouw', 'Hiroshi Kimura']	female	1	2019-04-06	Quantitative measurements of chromatin modification dynamics during zygotic genome activation	nosubject
Emily Lorenzen	['Tea Dodig-Crnkovic', 'Ilana B Kotliar', 'Elisa Pin', 'Emilie Ceraudo', 'Roger D Vaughan', 'Mathias Uhlen', 'Thomas Huber', 'Jochen M Schwenk', 'Thomas P Sakmar']	female	1	2019-04-06	Multiplexed Analysis of the Secretin-like GPCR-RAMP Interactome	nosubject
Qin Cao	['David R. Boyer', 'Michael R. Sawaya', 'Peng Ge', 'David S. Eisenberg']	ambiguous	1	2019-04-06	Cryo-EM Structures of Four Polymorphic TDP-43 Amyloid Cores	nosubject
Ruoqi Gao	['Christopher Pratt', 'Sehyoun Yoon', 'Maria Dolores Martin-de-Saavedra', 'Marc Forrest', 'Peter Penzes']	unknown	0	2019-04-06	CNTNAP2 is targeted to endosomes by the polarity protein Par3	nosubject
Elizabeth A. Krewson	['Edward J. Sanderlin', 'Mona A. Marie', 'Juraj Velcicky', 'Pius Loetscher', 'Li V. Yang']	female	1	2019-04-06	The proton-sensing GPR4 receptor regulates paracellular gap formation and permeability of vascular endothelial cells	nosubject
Marion Gruffaz	['Hongfeng Yuan', 'Wen Meng', 'Hui Liu', 'Sangsu Bae', 'Jin Soo Kim', 'Chun Lu', 'Yufei Huang', 'Shou-Jiang Gao']	ambiguous	1	2019-04-06	CRISPR-Cas9 screening of KSHV-transformed cells identifies XPO1 as a vulnerable target of cancer cells	nosubject
Devon L Moose	['Benjamin L Krog', 'Lei Zhao', 'Tae-Hyung Kim', 'Sophia Williams-Perez', 'Gretchen Burke', 'Lillian Rhodes', 'Marion Vanneste', 'Patrick Breheny', 'Mohammed Milhem', 'Cristopher S Stipp', 'Amy C Rowat', 'Michael D Henry']	ambiguous	1	2019-04-06	Cancer cells resist mechanical destruction in the circulation via RhoA-myosin II axis	nosubject
Ibraheem Alshareedah	['Taranpreet Kaur', 'Jason Ngo', 'Hannah Seppala', 'Liz-Audrey Djomnang Kounatse', 'Wei Wang', 'Mahdi Muhammad Moosa', 'Priya R Banerjee']	unknown	0	2019-04-06	Interplay Between Short-range Attraction and Long-range Repulsion Controls Reentrant Liquid Condensation of Ribonucleoprotein-RNA Complexes	nosubject
Edgar Badell	['Sophie Guillot', 'Marie Tulliez', 'Marine Pascal', 'Leonardo G Panunzi', 'Samuel Rose', 'David Litt', 'Norman K Fry', 'Sylvain Brisse']	male	0	2019-04-06	Optimization and validation of a quadruplex real-time PCR assay for the diagnosis of diphtheria	Microbiology
Roman Labuda	['Andreas Bernreiter', 'Doris Hochenauer', 'Christoph Schüller', 'Alena Kubátová', 'Joseph Strauss', 'Martin Wagner']	male	0	2019-04-06	A New European Species of The Opportunistic Pathogenic Genus Saksenaea – S. dorisiae Sp. Nov.	Microbiology
