FirstAuthor	CoAuthors	Label	RT	Date	Title	Subject
Xuhui Luo	['Mingkuang Wang', 'Guiping Hu', 'Boqi Weng']	unknown	0	2019-04-06	Seasonal Change of Microbial Diversity and Its Relation with Soil Chemical Properties in Orchard	Microbiology
Jack W Shepherd	['R J Greenall', 'M I J Probert', 'Agnes Noy', 'Mark C. Leake']	male	0	2019-04-04	The emergence of sequence-dependent structural motifs in stretched, torsionally constrained DNA	Biophysics
Olexiy Kyrgyzov	['Vincent Prost', 'Stéphane Gazut', 'Bruno Farcy', 'Thomas Brüls']	male	0	2019-04-04	Binning unassembled short reads based on k-mer covariance in a sparse coding framework	Bioinformatics
Andrew R Harris	['Brian Belardi', 'Pamela Jreij', 'Kathy Wei', 'Andreas Bausch', 'Daniel A Fletcher']	male	0	2019-04-04	Tuning the affinity of tandem calponin homology domains	Biochemistry
Małgorzata K. Włodarczyk-Biegun	['Julieta I. Paez', 'Maria Villiou', 'Jun Feng', 'Aranzazu del Campo']	female	1	2019-04-04	Printability study of metal ion crosslinked PEG-catechol based inks	Biochemistry
Alessandro Moscatelli	['Colleen P. Ryan', 'Lucia Cosentino', 'Marc O. Ernst', 'Francesco Lacquaniti']	male	0	2019-04-04	The discrimination of tactile speed in absence of texture elements: Role of deformation and vibratory cues	Neuroscience
Antonio Barral	['Isabel Rollan', 'Hector Sanchez-Iranzo', 'Wajid Jawaid', 'Claudio Badia-Careaga', 'Sergio Menchero', 'Manuel Gomez-Rodriguez', 'Carlos Torroja', 'Fatima Sanchez-Cabo', 'Berthold Göttgens', 'Miguel Manzanares', 'Julio Sainz de Aja']	male	0	2019-04-04	Nanog regulates Pou3f1 expression and represses anterior fate at the exit from pluripotency	Developmental
Vidyasiri Vemulapalli	['Lily Chylek', 'Alison Erickson', 'Jonathan LaRochelle', 'Kartik Subramanian', 'Morvarid Mohseni', 'Matthew LaMarche', 'Michael G. Acker', 'Peter K. Sorger', 'Steven P. Gygi', 'Stephen C. Blacklow']	unknown	0	2019-04-04	Time resolved quantitative phosphoproteomics reveals distinct patterns of SHP2 dependence in EGFR signaling	Cell
Ryota Mizushima	['Kanako Inoue', 'Atsuko H. Iwane', 'Atsuomi Kimura', 'Tomonobu M. Watanabe']	male	0	2019-04-04	Multiplexed 129Xe HyperCEST MRI detection of genetically-reconstituted bacterial protein nanoparticles in human cancer cells	Biophysics
Xu Ren	['Pei Fen Kuan']	ambiguous	1	2019-04-04	Negative Binomial Additive Model for RNA-Seq Data Analysis	Bioinformatics
Katrina Schlum	['Se-Ran Jun', 'Zulema Udaondo', 'David Ussery', 'Scott J. Emrich']	female	1	2019-04-04	Improved bacteria population structure analysis on thousands of genomes using unsupervised methods	Bioinformatics
SR Cox	['SJ Ritchie', 'C Fawns-Ritchie', 'EM Tucker-Drob', 'IJ Deary']	unknown	0	2019-04-04	Brain imaging correlates of general intelligence in UK Biobank	Neuroscience
Harold D. Bright	['Laura D. Howe', 'Jasmine N. Khouja', 'Andrew J. Simpkin', 'Matthew Suderman', 'Linda M. O’Keeffe']	male	0	2019-04-04	Epigenetic gestational age and trajectories of weight and height during childhood: a prospective cohort study	Genomics
Salomé Llabrés	['Ulrich Zachariae']	female	1	2019-04-04	Disease-related single-point mutations alter the global dynamics of a tetratricopeptide (TPR) a-solenoid domain	Biophysics
Yuanhua Huang	['Davis J. McCarthy', 'Oliver Stegle']	unknown	0	2019-04-04	Vireo: Bayesian demultiplexing of pooled single-cell RNA-seq data without genotype reference	Bioinformatics
Chih-Chung Ting	['Stefano Palminteri', 'Jan B. Engelmann', 'Maël Lebreton']	unknown	0	2019-04-04	Decreased confidence in loss-avoidance contexts is a primary meta-cognitive bias of human reinforcement learning	Animal
Mirre J. P. Simons	['Isabel Winney', 'Antje Girndt', 'Mark Rees', 'Shinichi Nakagawa', 'Julia Schroeder', 'Terry Burke']	unknown	0	2019-04-04	Ageing in house sparrows is insensitive to environmental effects	Evolutionary
Kathy Y. Wei	['Danai Moschidi', 'Matthew J. Bick', 'Santrupti Nerli', 'Andrew C. McShan', 'Lauren P. Carter', 'Po-Ssu Huang', 'Daniel A. Fletcher', 'Nikolaos G. Sgourakis', 'Scott E. Boyken', 'David Baker']	female	1	2019-04-04	De novo design of proteins with two isoenergetic but structurally divergent ground states	Biochemistry
Jiawen Li	['Jinxin Wang', 'Xiaoping Su', 'Zhiyong Jiang', 'Xing Rong', 'Xueping Gu', 'Huixian Qiu', 'Lanlan Zeng', 'Hao Zheng', 'Xiaoqiong Gu', 'Maoping Chu']	unknown	0	2019-04-04	The rs6505162 C&amp;gt;A polymorphism in the miRNA-423 gene exhibits a protective element of coronary artery in a southern Chinese population with Kawasaki disease	Genetics
Lili Qin	['Ying Huang', 'Zhaoduan Liang', 'Geng Liu', 'Xiumei Lin', 'Ting An', 'Dongli Li', 'Le Cheng', 'Bo Li']	female	1	2019-04-04	Novel pipeline of high-frequency neoantigens heathy donor-based validation in breast cancer	Cancer
B.A. Jonsson	['G. Bjornsdottir', 'T.E. Thorgeirsson', 'L.M. Ellingsen', 'G. Bragi Walters', 'D.F. Gudbjartsson', 'H. Stefansson', 'K. Stefansson', 'M.O. Ulfarsson']	unknown	0	2019-04-04	Deep learning based brain age prediction uncovers associated sequence variants	Neuroscience
Muhammad Yasir	['A. Keith Turner', 'Sarah Bastkowski', 'Andrew J. Page', 'Andrea Telatin', 'Minh-Duy Phan', 'Leigh G. Monahan', 'Aaron E. Darling', 'Mark A. Webber', 'Ian G. Charles']	male	0	2019-04-04	A new massively-parallel transposon mutagenesis approach comparing multiple datasets identifies novel mechanisms of action and resistance to triclosan	Microbiology
Alfredo Hinay	['Nelyn Mae Cadotdot', 'Marilou Tablizo']	male	0	2019-04-04	Anti-HIV-1 Activity of Crocodylus mindorensis (Philippine crocodile) serum in cell-free and cell-associated virus interactions to human peripheral blood mononuclear cells	Immunology
Bongyong Lee	['Iqbal Mahmud', 'John Marchica', 'Paweł Dereziński', 'Feng Qi', 'Fubo Wang', 'Piyush Joshi', 'Felipe Valerio', 'Inoel Rivera', 'Vipul Patel', 'Christian P. Pavlovich', 'Timothy Garrett', 'Gary P. Schroth', 'Yinghao Sun', 'Ranjan J. Perera']	unknown	0	2019-04-04	Integrated RNA and metabolite profiling of urine liquid biopsies for prostate cancer biomarker discovery	Cancer
Jeffrey N. Chiang	['Yujia Peng', 'Hongjing Lu', 'Keith J. Holyoak', 'Martin M. Monti']	male	0	2019-04-04	Neural and computational mechanisms of analogical reasoning	Neuroscience
Nathan P. Roach	['Norah Sadowski', 'Amelia F. Alessi', 'Winston Timp', 'James Taylor', 'John K. Kim']	male	0	2019-04-04	The full-length transcriptome of C. elegans using direct RNA sequencing	Genomics
Rasmus Magnusson	['Olof Rundquist', 'Min Jung Kim', 'Sandra Hellberg', 'Chan Hyun Na', 'Mikael Benson', 'David Gomez-Cabrero', 'Ingrid Kockum', 'Jesper Tegnér', 'Fredrik Piehl', 'Maja Jagodic', 'Johan Mellergård', 'Claudio Altafini', 'Jan Ernerudh', 'Maria C. Jenmalm', 'Colm E. Nestor', 'Min-Sik Kim', 'Mika Gustafsson']	male	0	2019-04-04	On the prediction of protein abundance from RNA	Bioinformatics
Qin Guo	['Shaoyan Zhang', 'Rong Sun', 'Xiaolong Yao', 'Satyanarayana Tatineni', 'Tea Meulia', 'Feng Qu']	ambiguous	1	2019-04-04	Single amino acid changes decouple two opposite activities of a viral auxiliary replication protein	Molecular
Wei Zhang	['Yuanlang Wang', 'Min Yang', 'Xudong Wu', 'Xiaodong Zhang', 'Yueyun Ding', 'Zongjun Yin']	ambiguous	1	2019-04-04	Genomic analysis reveals selection signatures of Yucatan miniature pig on its X chromosome during domestication	Genomics
Apostolos Gkatzionis	['Stephen Burgess', 'David V Conti', 'Paul J Newcombe']	male	0	2019-04-04	Bayesian variable selection with a pleiotropic loss function in Mendelian randomization	Genetics
Ran Tian	['Inge Seim', 'Wenhua Ren', 'Shixia Xu', 'Guang Yang']	female	1	2019-04-04	Contraction of the ROS scavenging enzyme glutathione S-transferase gene family in cetaceans	Evolutionary
Manuel Spitschan	['Rafael Lazar', 'Christian Cajochen']	male	0	2019-04-04	Visual and non-visual properties of filters manipulating short-wavelength light	Neuroscience
Andrea Martello	['Angela Lauriola', 'David Mellis', 'Elisa Parish', 'John C Dawson', 'Lisa Imrie', 'Martina Vidmar', 'Noor Gammoh', 'Tijana Mitic', 'Mairi Brittan', 'Nicholas Mills', 'Neil O Carragher', 'Domenico D’Arca', 'Andrea Caporali']	ambiguous	1	2019-04-04	Trichoplein controls endothelial cell function by regulating autophagy	Molecular
Mroj Alassaf	['Emily Daykin', 'Jaffna Mathiaparanam', 'Marc Wolman']	unknown	0	2019-04-04	Pregnancy-associated plasma protein-aa supports hair cell survival by regulating mitochondrial function	Cell
Tal Einav	['Rob Phillips']	ambiguous	1	2019-04-04	How the Avidity of Polymerase Binding to the -35/-10 Promoter Sites Affects Gene Expression	Biophysics
Bianca Dumitrascu	['Soledad Villar', 'Dustin G. Mixon', 'Barbara E. Engelhardt']	female	1	2019-04-04	Optimal marker gene selection for cell type discrimination in single cell analyses	Genomics
Cai-Rong Yang	['Gabriel Rajkovic', 'Enrico Maria Daldello', 'Xuan G. Luong', 'Jing Chen', 'Marco Conti']	unknown	0	2019-04-04	The RNA binding protein DAZL functions as repressor and activator of maternal mRNA translation during oocyte maturation	Developmental
Juan F. Duque	['Tanner Rasmussen', 'Anna Rodriguez', 'Jeffrey R. Stevens']	male	0	2019-04-04	Effects of mesotocin on social bonding in pinyon jays	Animal
Kyria Roessler	['Aline Muyle', 'Concepcion M. Diez', 'Garren R.J. Gaut', 'Alexandros Bousios', 'Michelle C. Stitzer', 'Danelle K. Seymour', 'John F. Doebley', 'Qingpo Liu', 'Brandon S. Gaut']	unknown	0	2019-04-04	The Genomics of Selfing in Maize (Zea mays ssp. mays): Catching Purging in the Act	Genomics
Helmut Schmidt	['Thomas R. Knösche']	male	0	2019-04-04	Action Potential Propagation and Synchronisation in Myelinated Axons	Neuroscience
